MixKey,ProductKey,DateKey,MarketKey,MarketClusterKey,SeasonalityKey,TotalRevenue,TotalProfit,TotalQuantity,CategoryCount,SKUCount,VariantCount,ConsistencyIndex,SeasonalityIndex
52,200,2013-09-01,7,2,3,1600.41,1.60,8,4,157,10,.90,1.25
53,30,2013-11-01,10,2,2,1079.98,490.82,2,4,117,10,.80,.95
54,217,2013-08-01,4,1,3,7481.53,-341.12,13,4,158,8,.86,2.01
55,93,2013-08-01,9,4,1,4291.32,-154.48,3,4,108,8,.72,.32
56,49,2012-11-01,10,2,2,4001.75,-276.72,6,4,52,5,.77,1.03
57,252,2013-05-01,2,5,1,747.66,224.14,20,4,130,3,.87,.69
58,87,2013-11-01,2,5,1,445.41,-16.03,1,4,98,10,.80,.43
59,295,2014-01-01,8,2,2,231.92,145.18,8,4,108,1,.49,.93
60,275,2014-02-01,10,2,3,944.73,591.39,27,3,82,3,.91,1.56
61,153,2013-08-01,6,6,1,534.53,138.97,11,4,136,1,.74,.72
62,25,2013-09-01,10,2,3,1129.98,513.54,2,4,134,10,.78,1.13
63,84,2013-10-01,5,5,1,445.41,-16.03,1,4,104,10,.71,.29
64,80,2014-05-01,3,5,1,2860.88,-102.99,2,4,123,8,.75,.61
65,160,2012-08-01,10,2,3,1622.26,-182.45,5,4,61,5,.84,1.17
66,237,2014-01-01,3,5,1,14.69,5.53,1,4,100,3,.76,.09
67,25,2014-04-01,1,3,1,564.99,256.77,1,3,83,10,.78,.29
68,237,2012-05-01,7,2,2,169.54,59.63,12,4,76,3,.76,.86
69,65,2012-08-01,5,5,1,1409.38,-50.73,3,4,76,12,.85,.29
70,21,2013-07-01,1,3,3,4770.83,992.83,9,4,170,4,.67,1.18
71,40,2014-02-01,7,2,1,1619.97,589.02,3,3,75,4,.77,.49
72,169,2012-10-01,7,2,2,2342.45,-263.44,3,4,50,11,.82,1.07
73,292,2013-05-01,4,1,1,21.49,13.45,1,4,171,1,.50,.08
74,32,2013-11-01,1,3,3,2267.95,205.90,7,4,121,10,.74,1.35
75,291,2013-12-01,10,2,2,175.00,109.55,5,4,113,1,.78,.88
76,6,2011-07-01,4,1,3,34424.89,2157.29,17,4,48,8,1.09,1.17
77,235,2011-12-01,5,5,1,20.74,-6.94,4,4,41,1,.81,.25
78,160,2013-01-01,4,1,2,5191.24,-583.84,16,4,79,5,.84,.93
79,32,2013-12-01,7,2,1,539.99,245.41,1,4,137,10,.74,.75
80,75,2011-11-01,9,4,1,699.09,212.39,1,1,16,12,.96,.57
81,108,2013-06-01,3,5,3,291.57,75.80,4,4,144,1,.84,1.22
82,144,2014-01-01,4,1,2,1267.44,110.68,8,4,137,10,.76,.91
83,190,2011-10-01,4,1,3,4464.52,-651.10,25,4,57,12,.77,1.94
84,17,2013-01-01,6,6,3,11015.89,842.49,17,4,72,4,.71,1.39
85,44,2013-05-01,2,5,1,2932.02,-177.87,2,4,130,8,.80,.75
86,185,2011-08-01,4,1,3,2498.28,33.31,7,4,55,5,.70,1.94
87,245,2012-01-01,3,5,2,259.56,-86.86,9,4,48,4,.73,.95
88,112,2013-12-01,1,3,1,631.76,164.25,6,4,134,1,.69,.79
89,16,2012-06-01,4,1,2,9071.91,693.82,14,4,107,4,.70,.84
90,119,2013-01-01,1,3,1,275.38,71.60,2,4,70,1,.96,.23
91,212,2013-07-01,6,6,3,5421.11,5.42,9,4,174,8,.69,2.12
92,27,2013-09-01,1,3,3,3728.93,338.53,11,4,160,10,.81,2.08
93,59,2011-10-01,3,5,2,5248.76,-59.48,6,4,55,5,.79,1.00
94,14,2012-05-01,2,5,3,24589.17,-450.44,20,4,95,6,.74,2.11
95,47,2012-10-01,8,2,2,4363.12,1253.22,2,1,17,8,.80,.94
96,205,2013-05-01,1,3,3,1000.26,1.00,5,4,156,10,.62,1.38
97,264,2013-10-01,9,4,3,1807.89,620.44,50,4,129,3,.75,2.05
98,258,2011-05-01,3,5,3,22.80,9.21,4,4,17,2,.77,1.33
99,174,2012-12-01,7,2,1,367.87,-41.37,2,4,74,12,.82,.51
100,262,2013-02-01,5,5,1,89.98,28.12,2,4,75,3,.80,.57
101,244,2013-04-01,1,3,2,519.12,-173.73,18,4,78,4,.79,.87
102,276,2013-08-01,6,6,3,1153.18,616.64,41,4,136,3,.90,1.37
103,147,2013-08-01,7,2,1,436.90,38.15,2,4,107,5,.81,.77
104,252,2013-12-01,9,4,1,391.94,234.88,6,4,101,3,.87,.80
105,66,2012-01-01,5,5,3,6291.88,-1008.71,15,4,51,12,.86,1.49
106,117,2012-06-01,3,5,3,266.79,69.36,3,4,94,1,.85,1.29
107,151,2014-03-01,6,6,1,194.35,50.53,8,4,157,1,.68,.74
108,126,2012-07-01,4,1,3,10419.81,-40.98,14,4,107,10,.78,1.93
109,150,2013-10-01,1,3,1,633.72,55.34,4,4,153,10,.78,.43
110,46,2013-12-01,4,1,3,27365.52,-623.54,18,4,132,8,.78,1.14
111,70,2012-10-01,5,5,3,5167.73,-186.03,11,4,82,12,.86,1.23
112,51,2012-11-01,1,3,1,3001.31,862.07,3,4,53,5,.83,.67
113,112,2013-06-01,5,5,1,210.58,54.75,2,4,140,1,.69,.75
114,92,2014-01-01,2,5,3,7152.21,-257.47,5,4,72,8,.79,1.60
115,73,2012-04-01,2,5,3,3775.13,-605.22,9,4,46,12,.84,1.24
116,263,2012-08-01,1,3,1,44.99,14.06,1,4,76,3,.81,.06
117,221,2012-10-01,7,2,3,337.69,87.80,5,4,50,1,.83,1.25
118,274,2014-06-01,6,6,1,524.85,328.55,15,2,41,3,.85,.64
119,245,2012-03-01,5,5,2,201.88,-67.56,7,4,57,4,.73,.87
120,117,2012-07-01,4,1,3,1867.57,485.56,21,4,107,1,.85,2.91
121,50,2013-08-01,8,2,2,2016.88,-122.35,3,4,104,5,.87,.89
122,290,2013-11-01,8,2,3,329.89,206.51,11,4,105,1,.52,1.52
123,51,2014-01-01,3,5,3,6050.64,-367.07,9,4,100,5,.83,1.64
124,211,2014-03-01,7,2,3,4216.42,4.21,7,4,159,8,.80,1.11
125,101,2013-05-01,2,5,1,148.60,38.63,4,4,130,1,.81,.53
126,249,2013-05-01,7,2,1,766.92,-313.95,26,4,94,4,.69,.79
127,287,2014-02-01,7,2,3,103.74,64.94,26,3,75,1,.45,1.24
128,273,2014-02-01,6,6,2,615.44,385.26,28,3,66,1,.70,.98
129,41,2013-03-01,4,1,3,42514.29,-1530.51,29,4,99,8,.82,1.56
130,23,2014-04-01,10,2,2,1129.98,513.54,2,3,88,10,.84,.95
131,65,2012-08-01,6,6,2,8926.08,-321.33,19,4,95,12,.85,.91
132,234,2012-09-01,4,1,1,161.98,50.61,3,4,99,3,.86,.21
133,45,2013-02-01,5,5,1,2617.87,-492.02,2,4,75,8,.73,.38
134,121,2013-04-01,4,1,3,2209.46,574.45,36,4,95,1,.90,1.71
135,67,2013-04-01,3,5,1,3758.35,-135.30,8,4,82,12,.93,.77
136,161,2013-05-01,8,2,1,356.89,-4.04,1,4,111,5,.82,.58
137,277,2013-09-01,2,5,3,562.96,172.20,19,4,100,1,.70,1.11
138,170,2014-03-01,7,2,1,1717.80,-19.46,2,4,159,11,.74,.70
139,71,2012-02-01,4,1,1,2936.21,-470.73,7,4,43,12,.79,.47
140,132,2012-09-01,4,1,2,8186.99,-32.20,11,4,99,10,.78,1.06
141,33,2013-10-01,9,4,3,10205.94,3710.88,6,4,129,4,.80,1.29
142,56,2011-10-01,7,2,1,7156.54,2813.95,2,1,9,5,.89,.78
143,244,2013-05-01,7,2,3,609.33,-199.00,21,4,94,4,.79,1.18
144,208,2013-06-01,9,4,2,200.05,.20,1,4,114,10,.76,1.00
145,28,2013-10-01,8,2,2,647.98,58.82,2,4,131,10,.72,.93
146,52,2014-04-01,1,3,1,1120.49,407.41,1,3,83,5,.87,.26
147,6,2012-03-01,6,6,3,24299.92,1522.79,12,4,54,8,1.09,1.12
148,185,2012-03-01,5,5,2,1070.69,14.27,3,4,57,5,.70,.82
149,115,2013-12-01,8,2,1,54.89,14.27,1,4,124,1,.87,.20
150,10,2013-12-01,1,3,3,40367.82,11258.57,23,4,134,6,.73,1.62
151,20,2014-03-01,2,5,3,3231.85,293.40,7,4,129,4,.78,2.00
152,87,2013-06-01,8,2,3,4433.68,-2026.54,14,4,161,10,.80,1.28
153,138,2013-10-01,10,2,2,749.37,65.44,5,4,154,10,.75,1.02
154,76,2013-05-01,2,5,1,283.94,-177.49,1,4,130,10,.75,.30
155,260,2014-04-01,6,6,1,17.98,11.25,2,3,73,2,.92,.12
156,72,2012-05-01,2,5,3,1879.17,-67.65,4,4,95,12,.99,1.15
157,126,2013-01-01,10,2,1,1488.54,-5.85,2,3,59,10,.78,.63
158,197,2013-05-01,4,1,3,130.17,33.84,8,4,171,1,.72,1.20
159,139,2013-09-01,10,2,1,299.74,26.17,2,4,134,10,.71,.61
160,2,2011-05-01,5,5,1,6119.98,383.51,3,4,28,8,1.18,.26
161,49,2013-06-01,1,3,2,3809.66,244.26,5,4,171,5,.77,.87
162,271,2013-06-01,6,6,1,17.98,11.25,2,4,163,1,.70,.22
163,49,2013-07-01,7,2,3,5154.25,162.69,7,4,132,5,.77,1.27
164,122,2013-04-01,6,6,3,449.02,116.74,6,4,95,1,.94,1.33
165,248,2013-05-01,5,5,3,904.87,-342.29,30,4,94,4,.66,1.61
166,83,2013-05-01,10,2,1,567.89,-354.99,2,4,129,10,.87,.19
167,60,2011-12-01,6,6,1,6123.55,-69.40,7,4,48,5,.66,.64
168,151,2013-06-01,2,5,1,48.58,12.63,2,4,117,1,.68,.63
169,38,2013-06-01,4,1,3,9719.82,784.93,26,4,166,4,.82,1.55
170,108,2013-07-01,4,1,3,2041.03,530.66,28,4,174,1,.84,2.91
171,108,2014-01-01,10,2,3,510.25,132.66,7,4,140,1,.84,1.47
172,90,2014-03-01,8,2,3,10095.96,-55.82,22,4,151,10,.84,2.32
173,214,2014-03-01,3,5,2,2409.38,2.40,4,4,128,8,.69,1.07
174,8,2012-01-01,5,5,3,30374.91,1903.49,15,4,51,8,1.05,1.41
175,220,2012-10-01,5,5,1,588.98,153.13,3,4,82,1,.78,.42
176,74,2012-12-01,4,1,3,9395.88,-338.25,20,4,82,12,.89,2.06
177,52,2014-05-01,7,2,3,2240.98,814.82,2,4,122,5,.87,1.19
178,255,2013-04-01,6,6,2,359.94,112.48,10,4,95,4,.90,1.02
179,274,2013-09-01,2,5,2,251.92,94.89,12,4,100,3,.85,.89
180,210,2013-12-01,9,4,1,400.10,.40,2,4,101,10,.85,.52
181,221,2012-09-01,5,5,3,540.31,140.48,8,4,96,1,.83,1.16
182,75,2012-11-01,4,1,2,11431.65,237.40,23,4,80,12,.96,.93
183,190,2013-08-01,8,2,3,404.66,-4.58,2,4,104,12,.77,1.33
184,294,2014-01-01,7,2,3,391.20,244.89,12,4,110,1,.64,2.30
185,276,2012-11-01,2,5,1,80.74,28.40,4,4,58,3,.90,.31
186,13,2012-11-01,7,2,1,7376.75,-135.13,6,4,50,6,.71,.58
187,12,2012-12-01,7,2,1,11065.13,-202.70,9,4,74,6,.75,.73
188,275,2012-12-01,2,5,1,141.30,49.70,7,4,80,3,.91,.65
189,75,2012-12-01,6,6,3,17852.17,-642.67,38,4,82,12,.96,1.51
190,255,2012-06-01,2,5,1,107.98,33.74,3,4,106,4,.90,.59
191,91,2013-06-01,1,3,3,21933.44,1186.31,14,4,171,8,.80,1.18
192,291,2013-11-01,9,4,1,350.00,219.10,10,4,101,1,.78,.54
193,81,2014-05-01,4,1,3,15258.04,3402.54,8,4,157,8,.72,1.38
194,268,2013-08-01,1,3,2,477.00,298.60,3,4,141,1,.57,.92
195,126,2013-09-01,1,3,3,7368.30,643.49,9,4,160,10,.78,1.91
196,142,2014-03-01,10,2,1,316.86,27.67,2,4,159,10,.63,.48
197,5,2011-07-01,3,5,3,14174.95,888.29,7,4,36,8,1.10,1.22
198,57,2012-05-01,9,4,2,28626.16,11255.80,8,1,22,5,.83,.95
199,184,2011-08-01,3,5,2,1070.69,14.27,3,4,42,5,.89,1.00
200,69,2012-03-01,4,1,3,9507.73,-1199.81,22,4,51,12,.84,1.58
201,254,2012-07-01,2,5,1,143.97,44.99,4,4,70,4,.84,.40
202,15,2012-12-01,3,5,1,1295.98,99.11,2,4,60,4,.64,.30
203,42,2013-02-01,9,4,1,2443.35,924.56,1,1,25,8,.86,.20
204,244,2013-02-01,4,1,2,1161.90,-493.26,43,4,95,4,.79,.93
205,287,2013-07-01,1,3,2,75.81,47.45,19,4,170,1,.45,.88
206,37,2013-11-01,7,2,1,1619.97,589.02,3,4,96,4,.73,.59
207,36,2013-12-01,7,2,1,10205.94,1545.86,8,4,137,4,.80,.65
208,262,2013-02-01,6,6,2,494.93,154.66,11,4,91,3,.80,.99
209,247,2014-06-01,1,3,1,161.97,37.25,3,2,40,4,.82,.70
210,245,2011-07-01,4,1,1,346.08,-115.82,12,4,48,4,.73,.57
211,188,2012-05-01,3,5,1,183.93,-20.68,1,4,78,12,.89,.53
212,262,2013-04-01,2,5,2,314.95,98.42,7,4,59,3,.80,.84
213,264,2013-09-01,8,2,3,1498.91,525.20,41,4,137,3,.75,1.35
214,94,2014-04-01,1,3,1,2384.07,902.13,1,3,83,8,.82,.12
215,41,2012-06-01,1,3,3,23944.83,4200.60,13,4,101,8,.82,2.50
216,66,2012-08-01,7,2,3,5785.66,-541.51,13,4,60,12,.86,1.53
217,263,2013-02-01,7,2,3,584.92,182.78,13,4,67,3,.81,1.33
218,72,2011-10-01,1,3,3,5313.14,-527.33,12,4,54,12,.99,1.94
219,66,2013-04-01,9,4,3,2348.97,888.85,3,1,29,12,.86,2.26
220,260,2013-06-01,2,5,3,316.44,101.25,64,4,117,2,.92,2.56
221,156,2014-05-01,10,2,3,437.34,113.70,9,4,155,1,.80,1.80
222,247,2013-10-01,10,2,1,107.98,24.83,2,4,154,4,.82,.55
223,146,2014-03-01,8,2,1,218.45,19.07,1,4,151,5,.75,.35
224,105,2012-10-01,4,1,3,852.82,158.62,13,4,96,1,.80,1.27
225,40,2013-07-01,1,3,1,2915.94,510.39,7,4,170,4,.77,.66
226,188,2011-10-01,2,5,2,535.74,-78.13,3,4,47,12,.89,.84
227,230,2012-07-01,5,5,3,1386.25,360.42,7,4,91,1,.85,1.15
228,46,2012-10-01,2,5,3,13089.37,-2460.10,10,4,60,8,.78,1.49
229,96,2014-05-01,9,4,3,8989.89,683.23,11,4,135,4,.70,2.11
230,98,2013-06-01,9,4,3,110.61,28.76,4,4,114,1,.56,1.60
231,290,2013-12-01,9,4,3,599.80,375.47,20,4,101,1,.52,1.31
232,13,2014-05-01,7,2,2,10556.95,4297.04,5,4,122,6,.71,.83
233,219,2013-04-01,5,5,1,141.61,36.81,1,4,83,1,.82,.19
234,38,2013-08-01,6,6,1,1079.98,392.68,2,4,136,4,.82,.64
235,21,2014-03-01,8,2,2,1538.98,699.42,2,4,151,4,.67,.92
236,232,2013-04-01,4,1,3,1943.78,607.43,36,4,95,3,.79,1.77
237,46,2013-06-01,4,1,3,32252.22,-1956.63,22,4,166,8,.78,1.35
238,11,2013-06-01,7,2,3,23199.90,2949.98,16,4,170,6,.68,2.36
239,272,2014-05-01,2,5,3,116.23,41.90,25,4,91,1,.66,1.15
240,245,2013-06-01,8,2,3,549.89,-104.47,17,4,161,4,.73,1.38
241,152,2013-06-01,3,5,2,223.52,58.11,6,4,144,1,.61,1.06
242,94,2013-09-01,10,2,1,5721.76,-205.98,4,4,134,8,.82,.53
243,119,2012-06-01,5,5,3,826.16,214.80,6,4,105,1,.96,1.41
244,253,2012-05-01,6,6,2,395.93,123.72,11,4,112,4,.78,.87
245,73,2012-12-01,3,5,2,2818.76,-101.47,6,4,60,12,.84,1.03
246,51,2012-06-01,7,2,3,4602.01,-389.54,7,4,104,5,.83,1.74
247,45,2013-05-01,8,2,3,6806.47,2141.63,3,4,111,8,.73,1.61
248,265,2014-06-01,1,3,1,63.50,39.75,1,2,40,3,.78,.10
249,91,2013-07-01,7,2,1,8582.65,-308.97,6,4,132,8,.80,.54
250,274,2013-08-01,2,5,1,104.97,39.53,5,4,114,3,.85,.37
251,89,2013-11-01,4,1,3,1930.11,545.77,3,4,138,10,.71,1.33
252,242,2013-11-01,6,6,2,349.93,80.48,7,4,120,4,.57,1.02
253,240,2012-05-01,3,5,1,91.17,28.49,4,4,78,3,.68,.28
254,237,2013-07-01,9,4,3,715.61,312.60,44,4,142,3,.76,2.16
255,82,2013-10-01,3,5,1,2860.88,-102.99,2,4,121,8,.80,.57
256,286,2014-01-01,6,6,2,254.49,159.30,51,4,138,1,.69,1.02
257,249,2013-11-01,1,3,1,539.90,41.03,12,4,121,4,.69,.63
258,260,2014-02-01,9,4,1,17.98,11.25,2,3,92,2,.92,.39
259,101,2014-03-01,6,6,3,594.43,154.55,16,4,157,1,.81,1.31
260,55,2012-02-01,10,2,1,3578.27,1406.97,1,1,6,5,.80,.56
261,127,2012-06-01,4,1,3,8097.60,-31.85,11,4,107,10,.72,1.17
262,24,2014-05-01,1,3,1,768.38,-464.48,4,4,158,10,.80,.55
263,64,2012-01-01,3,5,3,4614.04,-739.72,11,4,48,12,.97,2.16
264,46,2012-08-01,1,3,1,1308.93,-246.01,1,4,76,8,.78,.14
265,170,2012-09-01,7,2,3,3123.27,-351.26,4,4,92,11,.74,1.27
266,243,2013-02-01,3,5,1,201.88,-67.56,7,4,68,4,.78,.63
267,145,2013-06-01,10,2,3,1747.63,152.62,8,4,148,5,.75,1.27
268,213,2014-01-01,1,3,1,1204.69,1.20,2,4,136,8,.84,.17
269,86,2013-12-01,2,5,3,1781.64,-64.13,4,4,76,10,.85,1.17
270,174,2014-01-01,8,2,2,404.66,-4.58,2,4,108,12,.82,.86
271,111,2014-03-01,5,5,1,24.28,6.31,2,4,132,1,.91,.73
272,111,2013-07-01,3,5,3,72.86,18.94,6,4,142,1,.91,1.23
273,111,2014-01-01,9,4,3,145.72,37.88,12,4,117,1,.91,1.54
274,295,2014-03-01,4,1,2,376.87,235.92,13,4,160,1,.49,1.02
275,127,2014-05-01,3,5,3,11336.64,990.06,14,4,123,10,.72,2.20
276,10,2012-09-01,9,4,2,14499.93,5640.60,7,1,25,6,.73,1.03
277,261,2013-03-01,1,3,3,1515.17,401.57,36,4,94,3,.82,1.94
278,267,2013-08-01,4,1,3,4194.91,1726.51,55,4,158,1,.77,1.42
279,141,2013-11-01,7,2,1,158.43,13.83,1,4,96,10,.78,.19
280,190,2012-05-01,6,6,3,3126.94,-351.67,17,4,112,12,.77,1.42
281,244,2013-10-01,1,3,3,669.86,-61.48,19,4,153,4,.79,1.12
282,292,2013-11-01,10,2,3,279.37,174.88,13,4,117,1,.50,1.15
283,31,2013-12-01,1,3,1,971.98,88.24,3,4,134,10,.80,.35
284,289,2014-06-01,9,4,1,324.87,203.36,13,2,42,1,.54,.80
285,45,2013-04-01,2,5,3,13089.37,-2460.10,10,4,59,8,.73,1.14
286,22,2013-06-01,1,3,1,2308.47,209.57,5,4,171,4,.70,.80
287,12,2013-08-01,9,4,3,18359.92,8344.06,8,4,108,6,.75,1.14
288,68,2012-10-01,3,5,2,4697.94,-169.12,10,4,82,12,.88,1.05
289,235,2012-06-01,1,3,3,257.29,-116.51,54,4,101,1,.81,1.59
290,213,2013-06-01,6,6,3,5421.11,5.42,9,4,163,8,.84,1.14
291,236,2014-03-01,10,2,3,264.49,117.94,16,4,159,3,.84,1.99
292,238,2014-04-01,1,3,3,171.43,107.31,7,3,83,3,.76,1.32
293,275,2012-04-01,1,3,1,100.93,35.50,5,4,52,3,.91,.18
294,45,2013-02-01,6,6,2,13962.00,-1587.47,10,4,91,8,.73,.87
295,17,2013-03-01,2,5,2,7775.92,594.70,12,4,93,4,.71,1.08
296,210,2013-11-01,8,2,1,600.15,.60,3,4,105,10,.85,.52
297,52,2014-01-01,4,1,1,3585.56,733.24,4,4,137,5,.87,.42
298,215,2014-05-01,6,6,2,4216.42,4.21,7,4,161,8,.83,1.04
299,135,2012-11-01,6,6,2,2092.56,234.36,10,4,78,3,.83,.96
300,47,2014-01-01,6,6,3,16126.11,-978.31,11,4,138,8,.80,1.32
301,60,2011-12-01,5,5,1,3499.17,-39.65,4,4,41,5,.66,.64
302,166,2013-02-01,2,5,1,648.90,-72.98,2,4,86,5,.86,.40
303,115,2013-09-01,1,3,2,548.94,142.72,10,4,160,1,.87,.87
304,94,2014-02-01,4,1,1,14304.42,5412.79,6,3,88,8,.82,.58
305,229,2013-03-01,7,2,1,447.09,116.24,3,4,90,1,.71,.66
306,235,2013-05-01,10,2,1,131.44,-41.61,25,4,129,1,.81,.71
307,274,2014-04-01,4,1,3,1679.52,1051.37,48,3,89,3,.85,1.74
308,102,2013-06-01,3,5,3,865.94,225.14,12,4,144,1,.74,2.74
309,269,2013-11-01,9,4,2,254.49,159.30,51,4,101,1,.70,.83
310,71,2012-09-01,5,5,2,2348.97,-84.56,5,4,96,12,.79,.94
311,50,2012-12-01,1,3,3,7003.06,-840.81,11,4,73,5,.87,1.68
312,275,2013-07-01,4,1,3,2023.14,1041.67,75,4,174,3,.91,2.14
313,247,2013-09-01,4,1,3,377.93,86.92,7,4,152,4,.82,1.54
314,91,2014-03-01,9,4,3,43390.07,9305.50,23,4,122,8,.80,2.21
315,212,2013-07-01,5,5,2,1807.03,1.80,3,4,114,8,.69,1.00
316,50,2014-04-01,10,2,3,7843.43,2851.87,7,3,88,5,.87,2.03
317,96,2014-04-01,8,2,1,1214.85,459.69,1,4,93,4,.70,.49
318,155,2014-05-01,4,1,2,521.55,135.60,14,4,157,1,.84,.89
319,261,2012-09-01,6,6,3,3227.68,969.55,73,4,96,3,.82,1.91
320,178,2013-03-01,1,3,3,809.32,60.69,4,4,94,12,.85,1.17
321,153,2013-06-01,4,1,1,388.75,101.07,8,4,166,1,.74,.65
322,49,2014-05-01,10,2,3,12325.39,203.03,17,4,155,5,.77,3.18
323,41,2012-07-01,2,5,1,8796.06,-316.65,6,4,70,8,.82,.73
324,181,2012-08-01,2,5,3,1618.65,121.39,8,4,85,12,.81,1.19
325,225,2012-12-01,1,3,2,328.02,85.28,9,4,73,1,.82,.85
326,47,2013-06-01,10,2,2,8796.06,2576.26,4,4,148,8,.80,1.07
327,152,2013-07-01,4,1,3,484.30,125.91,13,4,174,1,.61,1.70
328,215,2014-05-01,5,5,1,1204.69,1.20,2,4,99,8,.83,.77
329,66,2013-02-01,1,3,3,8629.17,-618.24,19,4,79,12,.86,1.86
330,181,2013-04-01,4,1,3,3034.98,227.62,15,4,95,12,.81,1.27
331,115,2013-06-01,8,2,3,713.62,185.54,13,4,161,1,.87,2.60
332,42,2012-06-01,2,5,2,10262.07,-369.43,7,4,106,8,.86,1.08
333,230,2012-07-01,6,6,2,1980.36,514.89,10,4,103,1,.85,1.08
334,213,2013-06-01,5,5,3,2409.38,2.40,4,4,140,8,.84,1.14
335,190,2012-05-01,5,5,3,2207.25,-248.24,12,4,91,12,.77,2.24
336,123,2012-04-01,5,5,1,722.59,-24.60,1,4,55,10,.79,.41
337,156,2013-08-01,2,5,1,48.59,12.63,1,4,114,1,.80,.11
338,114,2014-01-01,8,2,2,971.97,252.71,4,4,108,1,.87,1.00
339,44,2012-08-01,10,2,1,4363.12,1253.22,2,4,61,8,.80,.65
340,145,2014-03-01,7,2,3,1966.08,171.70,9,4,159,5,.75,1.39
341,241,2012-05-01,4,1,1,855.69,213.18,41,4,120,3,.66,.69
